Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      3.09     0.00  1070607     0.00     0.00  thumb20(unsigned int)
  0.00      3.09     0.00   882150     0.00     0.00  arm290(unsigned int)
  0.00      3.09     0.00   858479     0.00     0.00  arm250(unsigned int)
  0.00      3.09     0.00   816041     0.00     0.00  arm084(unsigned int)
  0.00      3.09     0.00   816041     0.00     0.00  arm1B2(unsigned int)
  0.00      3.09     0.00   728323     0.00     0.00  thumb42_2(unsigned int)
  0.00      3.09     0.00   719086     0.00     0.00  thumb2A(unsigned int)
  0.00      3.09     0.00   690131     0.00     0.00  thumbF0(unsigned int)
  0.00      3.09     0.00   633317     0.00     0.00  arm050(unsigned int)
  0.00      3.09     0.00   585149     0.00     0.00  thumb29(unsigned int)
  0.00      3.09     0.00   569709     0.00     0.00  CPUUpdateRegister(unsigned int, unsigned short)
  0.00      3.09     0.00   555314     0.00     0.00  thumb30(unsigned int)
  0.00      3.09     0.00   542000     0.00     0.00  CPUCompareVCOUNT()
  0.00      3.09     0.00   534549     0.00     0.00  CPUReadMemory(unsigned int)
  0.00      3.09     0.00   517403     0.00     0.00  CPUWriteMemory(unsigned int, unsigned int)
  0.00      3.09     0.00   505429     0.00     0.00  thumb90(unsigned int)
  0.00      3.09     0.00   494018     0.00     0.00  thumb78(unsigned int)
  0.00      3.09     0.00   473302     0.00     0.00  arm590(unsigned int)
  0.00      3.09     0.00   459170     0.00     0.00  thumb2D(unsigned int)
  0.00      3.09     0.00   448200     0.00     0.00  thumbC0(unsigned int)
  0.00      3.09     0.00   447340     0.00     0.00  thumb60(unsigned int)
  0.00      3.09     0.00   416009     0.00     0.00  soundTimerOverflow(int)
  0.00      3.09     0.00   380743     0.00     0.00  thumb18_2(unsigned int)
  0.00      3.09     0.00   354316     0.00     0.00  thumb18_0(unsigned int)
  0.00      3.09     0.00   325788     0.00     0.00  thumbD3(unsigned int)
  0.00      3.09     0.00   321405     0.00     0.00  thumb00_04(unsigned int)
  0.00      3.09     0.00   254355     0.00     0.00  thumb00_03(unsigned int)
  0.00      3.09     0.00   250053     0.00     0.00  thumb33(unsigned int)
  0.00      3.09     0.00   248320     0.00     0.00  thumb42_3(unsigned int)
  0.00      3.09     0.00   240252     0.00     0.00  arm580(unsigned int)
  0.00      3.09     0.00   232970     0.00     0.00  thumb32(unsigned int)
  0.00      3.09     0.00   220621     0.00     0.00  arm480(unsigned int)
  0.00      3.09     0.00   214314     0.00     0.00  thumb70(unsigned int)
  0.00      3.09     0.00   164108     0.00     0.00  thumb44_2(unsigned int)
  0.00      3.09     0.00   147524     0.00     0.00  thumb42_0(unsigned int)
  0.00      3.09     0.00   140611     0.00     0.00  thumbB4(unsigned int)
  0.00      3.09     0.00   137926     0.00     0.00  thumb36(unsigned int)
  0.00      3.09     0.00   136517     0.00     0.00  thumb40_1(unsigned int)
  0.00      3.09     0.00   136336     0.00     0.00  thumb00_08(unsigned int)
  0.00      3.09     0.00   134991     0.00     0.00  thumbDA(unsigned int)
  0.00      3.09     0.00   130889     0.00     0.00  thumb2E(unsigned int)
  0.00      3.09     0.00   128517     0.00     0.00  thumb10_08(unsigned int)
  0.00      3.09     0.00   126366     0.00     0.00  thumb10_07(unsigned int)
  0.00      3.09     0.00   122268     0.00     0.00  thumb10_10(unsigned int)
  0.00      3.09     0.00   120655     0.00     0.00  thumb44_1(unsigned int)
  0.00      3.09     0.00   120604     0.00     0.00  thumb25(unsigned int)
  0.00      3.09     0.00   108446     0.00     0.00  thumb1A_2(unsigned int)
  0.00      3.09     0.00   105836     0.00     0.00  thumb1E_1(unsigned int)
  0.00      3.09     0.00   103359     0.00     0.00  thumbD9(unsigned int)
  0.00      3.09     0.00   103343     0.00     0.00  thumb08_1C(unsigned int)
  0.00      3.09     0.00   103343     0.00     0.00  thumb08_1F(unsigned int)
  0.00      3.09     0.00   102852     0.00     0.00  thumb46_3(unsigned int)
  0.00      3.09     0.00   102781     0.00     0.00  thumb08_02(unsigned int)
  0.00      3.09     0.00   102735     0.00     0.00  thumb1C_3(unsigned int)
  0.00      3.09     0.00    97666     0.00     0.00  thumb3A(unsigned int)
  0.00      3.09     0.00    94796     0.00     0.00  arm1BD(unsigned int)
  0.00      3.09     0.00    75438     0.00     0.00  dataTicksAccessSeq32(unsigned int)
  0.00      3.09     0.00    74611     0.00     0.00  thumbD8(unsigned int)
  0.00      3.09     0.00    71661     0.00     0.00  arm0DD(unsigned int)
  0.00      3.09     0.00    56512     0.00     0.00  codeTicksAccess32(unsigned int)
  0.00      3.09     0.00    51306     0.00     0.00  Gb_Square::run(int, int)
  0.00      3.09     0.00    43044     0.00     0.00  thumb39(unsigned int)
  0.00      3.09     0.00    42726     0.00     0.00  thumb3E(unsigned int)
  0.00      3.09     0.00    42342     0.00     0.00  dataTicksAccess32(unsigned int)
  0.00      3.09     0.00    40572     0.00     0.00  Gb_Osc::clock_length()
  0.00      3.09     0.00    36923     0.00     0.00  thumb00_05(unsigned int)
  0.00      3.09     0.00    36302     0.00     0.00  thumb10_05(unsigned int)
  0.00      3.09     0.00    32241     0.00     0.00  thumb18_6(unsigned int)
  0.00      3.09     0.00    25653     0.00     0.00  Gb_Wave::run(int, int)
  0.00      3.09     0.00    24312     0.00     0.00  CPUReadHalfWord(unsigned int)
  0.00      3.09     0.00    24240     0.00     0.00  CPUWriteHalfWord(unsigned int, unsigned short)
  0.00      3.09     0.00    22811     0.00     0.00  CPUWriteByte(unsigned int, unsigned char)
  0.00      3.09     0.00    22190     0.00     0.00  thumb00_18(unsigned int)
  0.00      3.09     0.00    21586     0.00     0.00  arm3A0(unsigned int)
  0.00      3.09     0.00    21228     0.00     0.00  arm280(unsigned int)
  0.00      3.09     0.00    21173     0.00     0.00  arm920(unsigned int)
  0.00      3.09     0.00    21169     0.00     0.00  arm8B0(unsigned int)
  0.00      3.09     0.00    21078     0.00     0.00  arm121(unsigned int)
  0.00      3.09     0.00    19712     0.00     0.00  CPUReadByte(unsigned int)
  0.00      3.09     0.00    19312     0.00     0.00  thumb43_2(unsigned int)
  0.00      3.09     0.00    18938     0.00     0.00  thumb43_3(unsigned int)
  0.00      3.09     0.00    18794     0.00     0.00  thumb34(unsigned int)
  0.00      3.09     0.00    17133     0.00     0.00  thumb56(unsigned int)
  0.00      3.09     0.00    15196     0.00     0.00  thumb1A_6(unsigned int)
  0.00      3.09     0.00    15186     0.00     0.00  arm5D0(unsigned int)
  0.00      3.09     0.00    15091     0.00     0.00  thumb08_08(unsigned int)
  0.00      3.09     0.00    15072     0.00     0.00  arm1A0(unsigned int)
  0.00      3.09     0.00    14200     0.00     0.00  thumb00_13(unsigned int)
  0.00      3.09     0.00    14182     0.00     0.00  CPUWriteHalfWord(unsigned int, unsigned short)
  0.00      3.09     0.00    14179     0.00     0.00  CPUUpdateCPSR()
  0.00      3.09     0.00    14175     0.00     0.00  CPUSwitchMode(int, bool)
  0.00      3.09     0.00    13583     0.00     0.00  thumb35(unsigned int)
  0.00      3.09     0.00    12387     0.00     0.00  thumb1A_1(unsigned int)
  0.00      3.09     0.00    11915     0.00     0.00  arm210(unsigned int)
  0.00      3.09     0.00    11899     0.00     0.00  arm5C0(unsigned int)
  0.00      3.09     0.00    11886     0.00     0.00  Blip_Buffer::end_frame(int)
  0.00      3.09     0.00    11820     0.00     0.00  arm1CB(unsigned int)
  0.00      3.09     0.00    11479     0.00     0.00  CPUReadMemory(unsigned int)
  0.00      3.09     0.00    10912     0.00     0.00  arm19D(unsigned int)
  0.00      3.09     0.00    10518     0.00     0.00  arm310(unsigned int)
  0.00      3.09     0.00    10093     0.00     0.00  arm1DD(unsigned int)
  0.00      3.09     0.00     9451     0.00     0.00  arm120(unsigned int)
  0.00      3.09     0.00     8625     0.00     0.00  thumb1A_5(unsigned int)
  0.00      3.09     0.00     8448     0.00     0.00  thumbD2(unsigned int)
  0.00      3.09     0.00     8216     0.00     0.00  thumb08_04(unsigned int)
  0.00      3.09     0.00     7605     0.00     0.00  Gb_Env::clock_envelope()
  0.00      3.09     0.00     7197     0.00     0.00  thumb26(unsigned int)
  0.00      3.09     0.00     7096     0.00     0.00  thumb00_12(unsigned int)
  0.00      3.09     0.00     7093     0.00     0.00  thumb08_01(unsigned int)
  0.00      3.09     0.00     7089     0.00     0.00  arm380(unsigned int)
  0.00      3.09     0.00     7085     0.00     0.00  CPUReadHalfWord(unsigned int)
  0.00      3.09     0.00     7068     0.00     0.00  thumb08_18(unsigned int)
  0.00      3.09     0.00     6907     0.00     0.00  thumbA0(unsigned int)
