Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      2.77     0.00   662569     0.00     0.00  arm1B2(unsigned int)
  0.00      2.77     0.00   656966     0.00     0.00  thumb22(unsigned int)
  0.00      2.77     0.00   648353     0.00     0.00  CPUReadByte(unsigned int)
  0.00      2.77     0.00   613937     0.00     0.00  thumb42_2(unsigned int)
  0.00      2.77     0.00   578776     0.00     0.00  thumb23(unsigned int)
  0.00      2.77     0.00   511586     0.00     0.00  arm040(unsigned int)
  0.00      2.77     0.00   511512     0.00     0.00  arm1FD(unsigned int)
  0.00      2.77     0.00   508078     0.00     0.00  arm050(unsigned int)
  0.00      2.77     0.00   467527     0.00     0.00  thumbDC(unsigned int)
  0.00      2.77     0.00   463293     0.00     0.00  CPUCompareVCOUNT()
  0.00      2.77     0.00   446091     0.00     0.00  thumb24(unsigned int)
  0.00      2.77     0.00   435435     0.00     0.00  CPUReadMemory(unsigned int)
  0.00      2.77     0.00   425047     0.00     0.00  thumb90(unsigned int)
  0.00      2.77     0.00   420956     0.00     0.00  CPUWriteMemory(unsigned int, unsigned int)
  0.00      2.77     0.00   413771     0.00     0.00  thumb78(unsigned int)
  0.00      2.77     0.00   387978     0.00     0.00  thumb2D(unsigned int)
  0.00      2.77     0.00   383500     0.00     0.00  arm590(unsigned int)
  0.00      2.77     0.00   377651     0.00     0.00  thumb60(unsigned int)
  0.00      2.77     0.00   374673     0.00     0.07  CPUCheckDMA(int, int)
  0.00      2.77     0.00   299080     0.00     0.00  thumb18_0(unsigned int)
  0.00      2.77     0.00   274741     0.00     0.00  thumbD3(unsigned int)
  0.00      2.77     0.00   271149     0.00     0.00  thumb00_04(unsigned int)
  0.00      2.77     0.00   261816     0.00     0.00  thumbDB(unsigned int)
  0.00      2.77     0.00   239883     0.00     0.00  thumb00_01(unsigned int)
  0.00      2.77     0.00   214175     0.00     0.00  thumb00_03(unsigned int)
  0.00      2.77     0.00   213013     0.00     0.00  thumb08_0E(unsigned int)
  0.00      2.77     0.00   210713     0.00     0.00  thumb33(unsigned int)
  0.00      2.77     0.00   209288     0.00     0.00  thumb42_3(unsigned int)
  0.00      2.77     0.00   194475     0.00     0.00  arm580(unsigned int)
  0.00      2.77     0.00   181441     0.00     0.00  thumb08_10(unsigned int)
  0.00      2.77     0.00   178575     0.00     0.00  arm480(unsigned int)
  0.00      2.77     0.00   140120     0.00     0.00  thumb44_2(unsigned int)
  0.00      2.77     0.00   121587     0.00     0.00  thumb42_0(unsigned int)
  0.00      2.77     0.00   117625     0.00     0.00  thumb37(unsigned int)
  0.00      2.77     0.00   116002     0.00     0.00  thumb36(unsigned int)
  0.00      2.77     0.00   114899     0.00     0.00  thumb40_1(unsigned int)
  0.00      2.77     0.00   114804     0.00     0.00  thumb00_08(unsigned int)
  0.00      2.77     0.00   114003     0.00     0.00  thumbDA(unsigned int)
  0.00      2.77     0.00   109733     0.00     0.00  thumb2E(unsigned int)
  0.00      2.77     0.00   108263     0.00     0.00  thumb10_08(unsigned int)
  0.00      2.77     0.00   106506     0.00     0.00  thumb10_07(unsigned int)
  0.00      2.77     0.00   103348     0.00     0.00  thumb10_10(unsigned int)
  0.00      2.77     0.00   102216     0.00     0.00  thumb25(unsigned int)
  0.00      2.77     0.00   101395     0.00     0.00  thumb44_1(unsigned int)
  0.00      2.77     0.00   100660     0.00     0.00  thumb18_3(unsigned int)
  0.00      2.77     0.00    91376     0.00     0.00  thumb1A_2(unsigned int)
  0.00      2.77     0.00    89324     0.00     0.00  thumb1E_1(unsigned int)
  0.00      2.77     0.00    87175     0.00     0.00  thumb08_1F(unsigned int)
  0.00      2.77     0.00    86957     0.00     0.00  thumbD9(unsigned int)
  0.00      2.77     0.00    86793     0.00     0.00  thumb46_3(unsigned int)
  0.00      2.77     0.00    86722     0.00     0.00  thumb08_02(unsigned int)
  0.00      2.77     0.00    80462     0.00     0.00  thumb3A(unsigned int)
  0.00      2.77     0.00    67228     0.00     0.00  arm1BD(unsigned int)
  0.00      2.77     0.00    64062     0.00     0.00  dataTicksAccessSeq32(unsigned int)
  0.00      2.77     0.00    61389     0.00     0.00  thumbD8(unsigned int)
