Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
                0.00    0.00    5456/5456        thumb3D(unsigned int) [296]
                0.00    0.00    5348/5348        thumb10_0E(unsigned int) [298]
                0.00    0.00    5284/5284        CPUSoftwareInterrupt(int) [299]
                0.00    0.00    5284/5284        thumbDF(unsigned int) [300]
                0.00    0.00    5132/5132        thumb18_5(unsigned int) [301]
                0.00    0.00    4586/4586        thumbD5(unsigned int) [302]
                0.00    0.00    3290/3290        thumbA8(unsigned int) [315]
                0.00    0.00    3262/3262        thumb10_06(unsigned int) [316]
                0.00    0.00    3234/3234        BIOS_BgAffineSet() [317]
                0.00    0.00    3234/3234        thumb1E_2(unsigned int) [318]
                0.00    0.00    3189/3189        thumb1A_4(unsigned int) [319]
                0.00    0.00    3109/3109        thumb1A_0(unsigned int) [320]
                0.00    0.00    3106/3106        thumb10_03(unsigned int) [321]
                0.00    0.00    2110/2110        thumb3C(unsigned int) [324]
                0.00    0.00    2060/2060        thumb08_03(unsigned int) [325]
                0.00    0.00    2016/2016        thumb45_1(unsigned int) [349]
                0.00    0.00    1947/1947        thumb10_04(unsigned int) [350]
                0.00    0.00    1795/1795        thumb1A_7(unsigned int) [351]
                0.00    0.00    1666/1666        thumb10_18(unsigned int) [353]
                0.00    0.00    1580/1580        thumb08_05(unsigned int) [354]
                0.00    0.00    1474/1474        thumb40_3(unsigned int) [356]
                0.00    0.00    1144/1144        thumb08_19(unsigned int) [358]
                0.00    0.00     603/603         thumb3B(unsigned int) [359]
                0.00    0.00     456/456         thumb00_07(unsigned int) [360]
                0.00    0.00     384/384         thumb10_02(unsigned int) [362]
                0.00    0.00     312/312         thumb00_06(unsigned int) [364]
                0.00    0.00      31/31          thumb08_0B(unsigned int) [374]
                0.00    0.00      23/23          BIOS_CpuSet() [377]
                0.00    0.00      19/19          thumb00_0B(unsigned int) [378]
                0.00    0.00      10/10          thumb1C_6(unsigned int) [382]
                0.00    0.00       8/8           thumb1C_4(unsigned int) [384]
                0.00    0.00       8/8           thumb00_1C(unsigned int) [383]
                0.00    0.00       7/7           thumb00_0C(unsigned int) [386]
                0.00    0.00       6/6           BIOS_CpuFastSet() [388]
                0.00    0.00       5/5           thumb00_09(unsigned int) [390]
                0.00    0.00       4/4           BIOS_LZ77UnCompVram() [394]
                0.00    0.00       4/4           thumb1A_3(unsigned int) [397]
                0.00    0.00       4/4           thumb00_0E(unsigned int) [395]
                0.00    0.00       4/4           thumb00_11(unsigned int) [396]
                0.00    0.00       2/2           thumb00_0A(unsigned int) [421]
                0.00    0.00       2/2           thumb08_07(unsigned int) [423]
                0.00    0.00       2/2           thumb08_06(unsigned int) [422]
                0.00    0.00       2/2           thumb10_01(unsigned int) [424]
                0.00    0.00       1/1           thumb08_0C(unsigned int) [465]
-----------------------------------------------
                0.71    0.00  298392/298392      mode2RenderLine() [2]
[4]     25.6    0.71    0.00  298392         rtcReadGame(gzFile_s*) [4]
-----------------------------------------------
                0.06    0.07   66857/66857       CPULoop(int) [1]
[5]      4.7    0.06    0.07   66857         armExecute() [5]
                0.03    0.00  686108/686108      arm250(unsigned int) [11]
                0.01    0.00  714040/714040      arm290(unsigned int) [28]
                0.01    0.00 2094564/2094564     arm009(unsigned int) [37]
                0.01    0.00 1940093/1940093     arm3C0(unsigned int) [39]
                0.00    0.00 1739021/3684802     codeTicksAccessSeq32(unsigned int) [33]
                0.00    0.00  508078/508078      arm050(unsigned int) [85]
                0.00    0.00   10100/10100       arm1CB(unsigned int) [87]
                0.00    0.00   10158/10158       arm5C0(unsigned int) [88]
                0.00    0.00   17676/17676       arm121(unsigned int) [90]
                0.00    0.00    4695/4695        arm350(unsigned int) [93]
                0.00    0.00    4033/4033        arm010(unsigned int) [94]
                0.00    0.00    2016/2016        arm810(unsigned int) [95]
                0.00    0.00    2603/2603        arm090(unsigned int) [96]
                0.00    0.00 1428230/1428230     arm086(unsigned int) [187]
                0.00    0.00 1103162/1103162     arm080(unsigned int) [189]
                0.00    0.00  879800/879800      armA00(unsigned int) [191]
                0.00    0.00  662569/662569      arm1B2(unsigned int) [193]
                0.00    0.00  662569/662569      arm084(unsigned int) [192]
                0.00    0.00  511586/511586      arm040(unsigned int) [198]
                0.00    0.00  511512/511512      arm1FD(unsigned int) [199]
                0.00    0.00  383500/383500      arm590(unsigned int) [208]
                0.00    0.00  194475/194475      arm580(unsigned int) [218]
                0.00    0.00  178575/178575      arm480(unsigned int) [220]
                0.00    0.00   67228/67228       arm1BD(unsigned int) [242]
                0.00    0.00   51546/51546       arm0DD(unsigned int) [245]
                0.00    0.00   18416/18416       arm3A0(unsigned int) [260]
                0.00    0.00   17893/17893       arm920(unsigned int) [262]
                0.00    0.00   17889/17889       arm8B0(unsigned int) [263]
                0.00    0.00   17687/17687       arm280(unsigned int) [264]
                0.00    0.00   12377/12377       arm1A0(unsigned int) [271]
                0.00    0.00   12285/12285       arm5D0(unsigned int) [272]
                0.00    0.00   10174/10174       arm210(unsigned int) [279]
                0.00    0.00    8075/8075        arm120(unsigned int) [284]
                0.00    0.00    6057/6057        arm380(unsigned int) [291]
                0.00    0.00    4095/4095        arm310(unsigned int) [304]
                0.00    0.00    4040/4040        arm100(unsigned int) [306]
                0.00    0.00    4037/4037        arm140(unsigned int) [307]
                0.00    0.00    4036/4036        arm160(unsigned int) [308]
                0.00    0.00    4033/4033        arm15B(unsigned int) [309]
                0.00    0.00    4033/4033        armB00(unsigned int) [310]
                0.00    0.00    3838/3838        arm240(unsigned int) [311]
                0.00    0.00    3765/3765        arm1DD(unsigned int) [312]
                0.00    0.00    2348/2348        arm260(unsigned int) [323]
                0.00    0.00    2020/2020        arm000(unsigned int) [338]
                0.00    0.00    2020/2020        arm1C0(unsigned int) [340]
                0.00    0.00    2020/2020        arm002(unsigned int) [339]
                0.00    0.00    2020/2020        arm1DB(unsigned int) [341]
                0.00    0.00    2020/2020        arm510(unsigned int) [342]
                0.00    0.00    2018/2018        arm14B(unsigned int) [344]
                0.00    0.00    2018/2018        arm020(unsigned int) [343]
                0.00    0.00    2017/2017        arm200(unsigned int) [345]
                0.00    0.00    2017/2017        arm790(unsigned int) [347]
                0.00    0.00    2017/2017        arm550(unsigned int) [346]
                0.00    0.00    2016/2016        arm1B0(unsigned int) [348]
                0.00    0.00    1474/1474        arm089(unsigned int) [355]
                0.00    0.00     150/150         arm1A7(unsigned int) [367]
                0.00    0.00      75/75          arm1A2(unsigned int) [369]
-----------------------------------------------
                0.08    0.03   25314/25314       CPULoop(int) [1]
[6]      4.0    0.08    0.03   25314         mode0RenderLine() [6]
                0.03    0.00   24800/24800       flashDelayedWrite(unsigned int, unsigned char) [14]
-----------------------------------------------
                0.06    0.01 2276075/2276075     thumbExecute() [3]
[7]      2.5    0.06    0.01 2276075         thumbBC(unsigned int) [7]
                0.01    0.00 3342172/3549226     CPUReadMemory(unsigned int) [34]
-----------------------------------------------
                0.05    0.00 4137608/4137608     thumbExecute() [3]
[8]      1.8    0.05    0.00 4137608         thumb88(unsigned int) [8]
-----------------------------------------------
[9]      1.3    0.01    0.03 1041298+399978  <cycle 1 as a whole> [9]
                0.00    0.03  374673             CPUCheckDMA(int, int) <cycle 1> [17]
                0.01    0.00 1066603             soundEvent(unsigned int, unsigned short) <cycle 1> [30]
-----------------------------------------------
                0.04    0.00  928514/928514      thumbExecute() [3]
[10]     1.3    0.04    0.00  928514         thumb48(unsigned int) [10]
-----------------------------------------------
                0.03    0.00  686108/686108      armExecute() [5]
[11]     1.2    0.03    0.00  686108         arm250(unsigned int) [11]
                0.00    0.00  688128/3684802     codeTicksAccessSeq32(unsigned int) [33]
                0.00    0.00    2020/16148       CPUSwitchMode(int, bool, bool) [266]
                0.00    0.00    2020/12111       CPUSwitchMode(int, bool) [277]
                0.00    0.00    2020/47888       codeTicksAccess32(unsigned int) [246]
-----------------------------------------------
                0.03    0.00 2367827/2367827     thumbExecute() [3]
[12]     1.1    0.03    0.00 2367827         thumb80(unsigned int) [12]
                0.00    0.00   71709/486893      CPUUpdateRegister(unsigned int, unsigned short) [31]
                0.00    0.00     460/1041298     CPUCheckDMA(int, int) <cycle 1> [17]
                0.00    0.00       3/2978        soundEvent(unsigned int, unsigned char) [61]
                0.00    0.00       1/1041298     soundEvent(unsigned int, unsigned short) <cycle 1> [30]
                0.00    0.00    2021/4046        CPUUpdateRender() [305]
                0.00    0.00       4/6           CPUUpdateRenderBuffers(bool) [389]
                0.00    0.00       2/6           interp_rate() [387]
                0.00    0.00       1/3           Gb_Apu::volume(double) [413]
-----------------------------------------------
                0.03    0.00 3799234/3799234     thumbExecute() [3]
[13]     1.1    0.03    0.00 3799234         thumb68(unsigned int) [13]
-----------------------------------------------
                0.03    0.00   24800/24800       mode0RenderLine() [6]
[14]     1.1    0.03    0.00   24800         flashDelayedWrite(unsigned int, unsigned char) [14]
-----------------------------------------------
                0.03    0.00   21829/21829       Gb_Apu::run_until_(int) [16]
[15]     1.1    0.03    0.00   21829         Gb_Noise::run(int, int) [15]
-----------------------------------------------
                0.00    0.01    1100/4487        Gb_Apu::write_register(int, unsigned int, int) [60]
                0.00    0.02    3387/4487        Gb_Apu::end_frame(int) [21]
[16]     1.1    0.00    0.03    4487         Gb_Apu::run_until_(int) [16]
                0.03    0.00   21829/21829       Gb_Noise::run(int, int) [15]
                0.00    0.00   43658/43658       Gb_Square::run(int, int) [248]
                0.00    0.00   34684/34684       Gb_Osc::clock_length() [253]
                0.00    0.00   21829/21829       Gb_Wave::run(int, int) [257]
                0.00    0.00    6501/6501        Gb_Env::clock_envelope() [288]
                0.00    0.00    4335/4335        Gb_Sweep_Square::clock_sweep() [303]
-----------------------------------------------
                               44442             soundEvent(unsigned int, unsigned short) <cycle 1> [30]
                0.00    0.00     460/1041298     thumb80(unsigned int) [12]
                0.00    0.00    4042/1041298     thumb60(unsigned int) [86]
                0.00    0.01  325729/1041298     CPULoop(int) [1]
[17]     1.0    0.00    0.03  374673         CPUCheckDMA(int, int) <cycle 1> [17]
                0.02    0.00    4042/4042        doDMA(unsigned int&, unsigned int&, unsigned int, unsigned int, unsigned int, int) [25]
                0.01    0.00  355536/486893      CPUUpdateRegister(unsigned int, unsigned short) [31]
                              355536             soundEvent(unsigned int, unsigned short) <cycle 1> [30]
-----------------------------------------------
                0.03    0.00 1525557/1525557     thumbExecute() [3]
[18]     0.9    0.03    0.00 1525557         thumbF8(unsigned int) [18]
-----------------------------------------------
                0.01    0.01  355519/355519      CPULoop(int) [1]
[19]     0.8    0.01    0.01  355519         soundTimerOverflow(int) [19]
                0.00    0.01  355519/1041298     soundEvent(unsigned int, unsigned short) <cycle 1> [30]
-----------------------------------------------
                0.00    0.02    3387/3387        CPULoop(int) [1]
[20]     0.8    0.00    0.02    3387         psoundTickfn() [20]
                0.00    0.02    3387/3387        Gb_Apu::end_frame(int) [21]
                0.00    0.00    3387/3387        Stereo_Buffer::end_frame(int) [314]
                0.00    0.00    3387/3387        flush_samples(Multi_Buffer*) [313]
-----------------------------------------------
                0.00    0.02    3387/3387        psoundTickfn() [20]
[21]     0.8    0.00    0.02    3387         Gb_Apu::end_frame(int) [21]
                0.00    0.02    3387/4487        Gb_Apu::run_until_(int) [16]
-----------------------------------------------
                0.02    0.00 2129295/2129295     thumbExecute() [3]
[22]     0.7    0.02    0.00 2129295         thumb46_1(unsigned int) [22]
-----------------------------------------------
                0.02    0.00 1983206/1983206     thumbExecute() [3]
[23]     0.7    0.02    0.00 1983206         thumb47(unsigned int) [23]
-----------------------------------------------
                0.02    0.00 1314730/1314730     thumbExecute() [3]
[24]     0.7    0.02    0.00 1314730         thumbB5(unsigned int) [24]
                0.00    0.00 2129088/2758635     CPUWriteMemory(unsigned int, unsigned int) [185]
-----------------------------------------------
                0.02    0.00    4042/4042        CPUCheckDMA(int, int) <cycle 1> [17]
[25]     0.7    0.02    0.00    4042         doDMA(unsigned int&, unsigned int&, unsigned int, unsigned int, unsigned int, int) [25]
-----------------------------------------------
                0.01    0.01  177040/177040      thumbExecute() [3]
[26]     0.6    0.01    0.01  177040         thumb70(unsigned int) [26]
                0.00    0.01    2965/2978        soundEvent(unsigned int, unsigned char) [61]
                0.00    0.00       2/1041298     soundEvent(unsigned int, unsigned short) <cycle 1> [30]
                0.00    0.00       2/486893      CPUUpdateRegister(unsigned int, unsigned short) [31]
-----------------------------------------------
                0.02    0.00  455045/455045      thumbExecute() [3]
[27]     0.5    0.02    0.00  455045         thumb2B(unsigned int) [27]
-----------------------------------------------
                0.01    0.00  714040/714040      armExecute() [5]
[28]     0.4    0.01    0.00  714040         arm290(unsigned int) [28]
                0.00    0.00  714040/3684802     codeTicksAccessSeq32(unsigned int) [33]
-----------------------------------------------
                0.01    0.00  200830/200830      thumbExecute() [3]
[29]     0.4    0.01    0.00  200830         thumbC8(unsigned int) [29]
                0.00    0.00  200838/3549226     CPUReadMemory(unsigned int) [34]
-----------------------------------------------
                              355536             CPUCheckDMA(int, int) <cycle 1> [17]
                0.00    0.00       1/1041298     thumb80(unsigned int) [12]
                0.00    0.00       2/1041298     thumb70(unsigned int) [26]
                0.00    0.00       8/1041298     thumb60(unsigned int) [86]
                0.00    0.00      18/1041298     CPUWriteByte(unsigned int, unsigned char) [91]
                0.00    0.01  355519/1041298     soundTimerOverflow(int) [19]
                0.00    0.01  355519/1041298     CPULoop(int) [1]
[30]     0.4    0.01    0.00 1066603         soundEvent(unsigned int, unsigned short) <cycle 1> [30]
                0.00    0.00      24/3025        Gb_Apu::write_register(int, unsigned int, int) [60]
                0.00    0.00       4/4           Gba_Pcm_Fifo::write_control(int) [399]
                               44442             CPUCheckDMA(int, int) <cycle 1> [17]
-----------------------------------------------
                0.00    0.00       1/486893      BIOS_RegisterRamReset(unsigned int) [98]
                0.00    0.00       2/486893      thumb70(unsigned int) [26]
                0.00    0.00     127/486893      CPUWriteByte(unsigned int, unsigned char) [91]
                0.00    0.00    8066/486893      arm5C0(unsigned int) [88]
                0.00    0.00   10100/486893      arm1CB(unsigned int) [87]
                0.00    0.00   41352/486893      thumb60(unsigned int) [86]
                0.00    0.00   71709/486893      thumb80(unsigned int) [12]
                0.01    0.00  355536/486893      CPUCheckDMA(int, int) <cycle 1> [17]
[31]     0.4    0.01    0.00  486893         CPUUpdateRegister(unsigned int, unsigned short) [31]
                0.00    0.00       4/2978        soundEvent(unsigned int, unsigned char) [61]
                0.00    0.00    2024/4046        CPUUpdateRender() [305]
                0.00    0.00       2/18          Gba_Pcm::apply_control(int) [379]
-----------------------------------------------
                0.01    0.00 4049862/4049862     thumbExecute() [3]
[32]     0.4    0.01    0.00 4049862         thumb1C_0(unsigned int) [32]
-----------------------------------------------
                0.00    0.00    2603/3684802     arm090(unsigned int) [96]
                0.00    0.00    4032/3684802     arm810(unsigned int) [95]
                0.00    0.00    4033/3684802     arm010(unsigned int) [94]
                0.00    0.00    4695/3684802     arm350(unsigned int) [93]
                0.00    0.00   20172/3684802     arm121(unsigned int) [90]
                0.00    0.00  508078/3684802     arm050(unsigned int) [85]
                0.00    0.00  688128/3684802     arm250(unsigned int) [11]
                0.00    0.00  714040/3684802     arm290(unsigned int) [28]
                0.00    0.00 1739021/3684802     armExecute() [5]
[33]     0.4    0.01    0.00 3684802         codeTicksAccessSeq32(unsigned int) [33]
-----------------------------------------------
                0.00    0.00    6216/3549226     thumbBD(unsigned int) [92]
                0.00    0.00  200838/3549226     thumbC8(unsigned int) [29]
                0.01    0.00 3342172/3549226     thumbBC(unsigned int) [7]
[34]     0.4    0.01    0.00 3549226         CPUReadMemory(unsigned int) [34]
-----------------------------------------------
                0.01    0.00 3029866/3029866     thumbExecute() [3]
[35]     0.4    0.01    0.00 3029866         thumb5E(unsigned int) [35]
-----------------------------------------------
                0.01    0.00 2199003/2199003     thumbExecute() [3]
[36]     0.4    0.01    0.00 2199003         thumb28(unsigned int) [36]
-----------------------------------------------
                0.01    0.00 2094564/2094564     armExecute() [5]
[37]     0.4    0.01    0.00 2094564         arm009(unsigned int) [37]
-----------------------------------------------
                0.01    0.00 1967546/1967546     thumbExecute() [3]
[38]     0.4    0.01    0.00 1967546         thumbD0(unsigned int) [38]
-----------------------------------------------
                0.01    0.00 1940093/1940093     armExecute() [5]
[39]     0.4    0.01    0.00 1940093         arm3C0(unsigned int) [39]
-----------------------------------------------
                0.01    0.00 1109046/1109046     thumbExecute() [3]
[40]     0.4    0.01    0.00 1109046         thumb00_02(unsigned int) [40]
-----------------------------------------------
                0.01    0.00  911414/911414      thumbExecute() [3]
[41]     0.4    0.01    0.00  911414         thumb21(unsigned int) [41]
-----------------------------------------------
                0.01    0.00  898641/898641      thumbExecute() [3]
[42]     0.4    0.01    0.00  898641         thumb20(unsigned int) [42]
-----------------------------------------------
                0.01    0.00  738942/738942      thumbExecute() [3]
[43]     0.4    0.01    0.00  738942         thumb00_10(unsigned int) [43]
-----------------------------------------------
                0.01    0.00  575139/575139      thumbExecute() [3]
[44]     0.4    0.01    0.00  575139         thumb98(unsigned int) [44]
-----------------------------------------------
                0.01    0.00  479329/479329      thumbExecute() [3]
[45]     0.4    0.01    0.00  479329         thumbDD(unsigned int) [45]
-----------------------------------------------
                0.01    0.00  464272/464272      thumbExecute() [3]
[46]     0.4    0.01    0.00  464272         thumbE0(unsigned int) [46]
-----------------------------------------------
                0.01    0.00  404026/404026      thumbExecute() [3]
[47]     0.4    0.01    0.00  404026         thumb1C_1(unsigned int) [47]
-----------------------------------------------
                0.01    0.00  376624/376624      thumbExecute() [3]
[48]     0.4    0.01    0.00  376624         thumbC0(unsigned int) [48]
                0.00    0.00  376794/2758635     CPUWriteMemory(unsigned int, unsigned int) [185]
-----------------------------------------------
                0.01    0.00  281923/281923      thumbExecute() [3]
[49]     0.4    0.01    0.00  281923         thumb42_1(unsigned int) [49]
-----------------------------------------------
                0.01    0.00  122750/122750      thumbExecute() [3]
[50]     0.4    0.01    0.00  122750         thumb18_4(unsigned int) [50]
-----------------------------------------------
                0.01    0.00  118806/118806      thumbExecute() [3]
[51]     0.4    0.01    0.00  118806         thumbB4(unsigned int) [51]
                0.00    0.00  252753/2758635     CPUWriteMemory(unsigned int, unsigned int) [185]
-----------------------------------------------
                0.01    0.00   87175/87175       thumbExecute() [3]
[52]     0.4    0.01    0.00   87175         thumb08_1C(unsigned int) [52]
-----------------------------------------------
                0.01    0.00   10300/10300       thumbExecute() [3]
[53]     0.4    0.01    0.00   10300         thumb27(unsigned int) [53]
-----------------------------------------------
                0.01    0.00     140/140         thumbExecute() [3]
[54]     0.4    0.01    0.00     140         thumb58(unsigned int) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.4    0.01    0.00                 utilGBAFindSave(int) [55]
                0.00    0.00       1/2           rtcEnable(bool) [419]
                0.00    0.00       1/1           rtcEnableRumble(bool) [453]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.4    0.01    0.00                 thumbUnknownInsn(unsigned int) [56]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.4    0.01    0.00                 arm082(unsigned int) [57]
-----------------------------------------------
                                                 <spontaneous>
[58]     0.4    0.01    0.00                 thumb52(unsigned int) [58]
-----------------------------------------------
                                                 <spontaneous>
[59]     0.4    0.01    0.00                 thumb5A(unsigned int) [59]
-----------------------------------------------
                0.00    0.00       1/3025        soundReset() [97]
                0.00    0.00       8/3025        thumb60(unsigned int) [86]
                0.00    0.00      16/3025        CPUWriteByte(unsigned int, unsigned char) [91]
                0.00    0.00      24/3025        soundEvent(unsigned int, unsigned short) <cycle 1> [30]
                0.00    0.01    2976/3025        soundEvent(unsigned int, unsigned char) [61]
[60]     0.3    0.00    0.01    3025         Gb_Apu::write_register(int, unsigned int, int) [60]
                0.00    0.01    1100/4487        Gb_Apu::run_until_(int) [16]
                0.00    0.00      48/144         Gb_Wave::access(unsigned int) const [368]
                0.00    0.00      24/24          Gb_Apu::silence_osc(Gb_Osc&) [376]
                0.00    0.00       6/25          Blip_Synth_::volume_unit(double) [375]
                0.00    0.00       5/8           Gb_Apu::reset_regs() [385]
-----------------------------------------------
                0.00    0.00       1/2978        CPUReset() [89]
                0.00    0.00       3/2978        thumb80(unsigned int) [12]
                0.00    0.00       4/2978        CPUUpdateRegister(unsigned int, unsigned short) [31]
                0.00    0.00       5/2978        CPUWriteByte(unsigned int, unsigned char) [91]
                0.00    0.01    2965/2978        thumb70(unsigned int) [26]
[61]     0.3    0.00    0.01    2978         soundEvent(unsigned int, unsigned char) [61]
                0.00    0.01    2976/3025        Gb_Apu::write_register(int, unsigned int, int) [60]
                0.00    0.00    2559/2559        Gb_Apu::write_osc(int, int, int, int) [322]
                0.00    0.00     409/409         Gb_Apu::apply_stereo() [361]
                0.00    0.00       5/18          Gba_Pcm::apply_control(int) [379]
                0.00    0.00       1/25          Blip_Synth_::volume_unit(double) [375]
-----------------------------------------------
                0.01    0.00 1975118/1975118     thumbExecute() [3]
[62]     0.2    0.01    0.00 1975118         thumb40_0(unsigned int) [62]
-----------------------------------------------
                0.01    0.00  943451/943451      thumbExecute() [3]
[63]     0.2    0.01    0.00  943451         thumbF4(unsigned int) [63]
-----------------------------------------------
                0.01    0.00  938132/938132      thumbExecute() [3]
[64]     0.2    0.01    0.00  938132         thumb18_1(unsigned int) [64]
-----------------------------------------------
                0.01    0.00  797642/797642      thumbExecute() [3]
[65]     0.2    0.01    0.00  797642         thumb46_2(unsigned int) [65]
-----------------------------------------------
                0.01    0.00  604579/604579      thumbExecute() [3]
[66]     0.2    0.01    0.00  604579         thumb2A(unsigned int) [66]
-----------------------------------------------
                0.01    0.00  582106/582106      thumbExecute() [3]
[67]     0.2    0.01    0.00  582106         thumbF0(unsigned int) [67]
-----------------------------------------------
                0.01    0.00  492996/492996      thumbExecute() [3]
[68]     0.2    0.01    0.00  492996         thumb29(unsigned int) [68]
-----------------------------------------------
                0.01    0.00  468234/468234      thumbExecute() [3]
[69]     0.2    0.01    0.00  468234         thumb30(unsigned int) [69]
-----------------------------------------------
                0.01    0.00  395693/395693      thumbExecute() [3]
[70]     0.2    0.01    0.00  395693         thumbB0(unsigned int) [70]
-----------------------------------------------
                0.01    0.00  338344/338344      thumbExecute() [3]
[71]     0.2    0.01    0.00  338344         thumb31(unsigned int) [71]
-----------------------------------------------
                0.01    0.00  328930/328930      thumbExecute() [3]
[72]     0.2    0.01    0.00  328930         thumb2C(unsigned int) [72]
-----------------------------------------------
                0.01    0.00  321575/321575      thumbExecute() [3]
[73]     0.2    0.01    0.00  321575         thumb18_2(unsigned int) [73]
-----------------------------------------------
                0.01    0.00  196192/196192      thumbExecute() [3]
[74]     0.2    0.01    0.00  196192         thumb32(unsigned int) [74]
-----------------------------------------------
                0.01    0.00   86676/86676       thumbExecute() [3]
[75]     0.2    0.01    0.00   86676         thumb1C_3(unsigned int) [75]
-----------------------------------------------
                0.01    0.00   72327/72327       thumbExecute() [3]
[76]     0.2    0.01    0.00   72327         thumb43_1(unsigned int) [76]
-----------------------------------------------
                0.01    0.00   18038/18038       thumbExecute() [3]
[77]     0.2    0.01    0.00   18038         thumb00_18(unsigned int) [77]
-----------------------------------------------
                0.01    0.00   10990/10990       thumbExecute() [3]
[78]     0.2    0.01    0.00   10990         thumb3F(unsigned int) [78]
-----------------------------------------------
                0.01    0.00    5569/5569        thumbExecute() [3]
[79]     0.2    0.01    0.00    5569         thumbA0(unsigned int) [79]
-----------------------------------------------
                0.01    0.00     972/972         thumbExecute() [3]
[80]     0.2    0.01    0.00     972         thumb41_0(unsigned int) [80]
-----------------------------------------------
                0.01    0.00     151/151         thumbExecute() [3]
[81]     0.2    0.01    0.00     151         thumb2F(unsigned int) [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.2    0.01    0.00                 thumb00_17(unsigned int) [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.2    0.01    0.00                 thumb5C(unsigned int) [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.2    0.01    0.00                 thumb1C_2(unsigned int) [84]
-----------------------------------------------
                0.00    0.00  508078/508078      armExecute() [5]
[85]     0.0    0.00    0.00  508078         arm050(unsigned int) [85]
                0.00    0.00  508078/3684802     codeTicksAccessSeq32(unsigned int) [33]
-----------------------------------------------
                0.00    0.00  377651/377651      thumbExecute() [3]
[86]     0.0    0.00    0.00  377651         thumb60(unsigned int) [86]
                0.00    0.00   41352/486893      CPUUpdateRegister(unsigned int, unsigned short) [31]
                0.00    0.00    4042/1041298     CPUCheckDMA(int, int) <cycle 1> [17]
                0.00    0.00       8/3025        Gb_Apu::write_register(int, unsigned int, int) [60]
                0.00    0.00       8/1041298     soundEvent(unsigned int, unsigned short) <cycle 1> [30]
-----------------------------------------------
                0.00    0.00   10100/10100       armExecute() [5]
[87]     0.0    0.00    0.00   10100         arm1CB(unsigned int) [87]
                0.00    0.00   10100/486893      CPUUpdateRegister(unsigned int, unsigned short) [31]
                0.00    0.00   10100/12118       CPUWriteHalfWord(unsigned int, unsigned short) [275]
-----------------------------------------------
                0.00    0.00   10158/10158       armExecute() [5]
[88]     0.0    0.00    0.00   10158         arm5C0(unsigned int) [88]
                0.00    0.00    8066/486893      CPUUpdateRegister(unsigned int, unsigned short) [31]
                0.00    0.00   10158/10158       CPUWriteByte(unsigned int, unsigned char) [281]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.0    0.00    0.00                 CPUReset() [89]
                0.00    0.00       1/1           CPUWriteByte(unsigned int, unsigned char) [91]
                0.00    0.00       1/1           soundReset() [97]
                0.00    0.00       1/2978        soundEvent(unsigned int, unsigned char) [61]
                0.00    0.00       1/1           BIOS_RegisterRamReset(unsigned int) [98]
                0.00    0.00       2/18          Gba_Pcm::apply_control(int) [379]
                0.00    0.00       1/1           CheckEReaderRegion() [456]
                0.00    0.00       1/1           rtcReset() [462]
                0.00    0.00       1/6           CPUUpdateRenderBuffers(bool) [389]
                0.00    0.00       1/1           SetSaveType(int) [443]
                0.00    0.00       1/34          systemGetClock() [371]
-----------------------------------------------
                0.00    0.00   17676/17676       armExecute() [5]
[90]     0.0    0.00    0.00   17676         arm121(unsigned int) [90]
                0.00    0.00   20172/3684802     codeTicksAccessSeq32(unsigned int) [33]
                0.00    0.00   10086/47888       codeTicksAccess32(unsigned int) [246]
-----------------------------------------------
                0.00    0.00       1/1           CPUReset() [89]
[91]     0.0    0.00    0.00       1         CPUWriteByte(unsigned int, unsigned char) [91]
                0.00    0.00      16/3025        Gb_Apu::write_register(int, unsigned int, int) [60]
                0.00    0.00       5/2978        soundEvent(unsigned int, unsigned char) [61]
                0.00    0.00     127/486893      CPUUpdateRegister(unsigned int, unsigned short) [31]
                0.00    0.00      18/1041298     soundEvent(unsigned int, unsigned short) <cycle 1> [30]
                0.00    0.00       2/18          Gba_Pcm::apply_control(int) [379]
                0.00    0.00       1/4046        CPUUpdateRender() [305]
                0.00    0.00       1/25          Blip_Synth_::volume_unit(double) [375]
                0.00    0.00       1/3           Gb_Apu::volume(double) [413]
                0.00    0.00       1/18296       CPUReadHalfWord(unsigned int) [261]
-----------------------------------------------
                0.00    0.00    3108/3108        thumbExecute() [3]
[92]     0.0    0.00    0.00    3108         thumbBD(unsigned int) [92]
                0.00    0.00    6216/3549226     CPUReadMemory(unsigned int) [34]
-----------------------------------------------
                0.00    0.00    4695/4695        armExecute() [5]
[93]     0.0    0.00    0.00    4695         arm350(unsigned int) [93]
                0.00    0.00    4695/3684802     codeTicksAccessSeq32(unsigned int) [33]
-----------------------------------------------
                0.00    0.00    4033/4033        armExecute() [5]
[94]     0.0    0.00    0.00    4033         arm010(unsigned int) [94]
                0.00    0.00    4033/3684802     codeTicksAccessSeq32(unsigned int) [33]
-----------------------------------------------
